date,close,macd_hist,rsi,supertrend_signal,bb_percent,stoch_k,stoch_d,atr_pct,roc,obv,vwap
1986-11-14,0.147569,-0.000436,64.269640,1,0.732902,59.999233,62.009450,0.032942,10.388912,1255276800.000000,2735410.044193
1986-11-17,0.148438,-0.000625,64.954593,1,0.730050,63.336173,62.672812,0.032112,8.917342,1279584000.000000,3601071.281433
1986-11-18,0.140625,-0.001291,54.319629,1,0.462045,31.033231,46.853022,0.038957,4.515822,1219910400.000000,8564275.492859
1986-11-19,0.145833,-0.001387,58.758337,1,0.617251,49.997946,48.425484,0.038311,6.328699,1268640000.000000,7035888.166809
1986-11-20,0.157118,-0.000730,66.248464,1,0.975614,96.153983,72.289734,0.042153,10.365895,1366819200.000000,15056401.657534
1986-11-21,0.162326,-0.000022,68.725727,1,1.100394,93.545102,82.917418,0.041161,7.470766,1457884800.000000,14703300.000000
1986-11-24,0.175347,0.001180,74.479672,1,1.437328,97.561133,90.239275,0.050978,13.482921,1631721600.000000,29475766.996765
1986-11-25,0.177083,0.001906,74.157283,1,1.389480,97.674563,93.956919,0.044866,15.253890,1727510400.000000,16907137.855053
1986-11-26,0.175347,0.002069,71.548983,1,1.237299,93.023648,93.490283,0.039772,18.823736,1688716800.000000,6836014.145136
1986-11-28,0.172743,0.001811,68.634290,1,1.090137,86.047255,89.768769,0.038513,16.373829,1647388800.000000,7163037.743568
1986-12-01,0.169271,0.001243,64.858823,1,0.928143,76.745465,83.257117,0.037751,14.034816,1607097600.000000,6866762.158012
1986-12-02,0.170139,0.000784,65.209428,1,0.902746,79.070903,81.164010,0.035367,16.320840,1635868800.000000,4928401.063871
1986-12-03,0.168837,0.000278,63.779721,1,0.827099,75.582707,78.373358,0.032899,14.412238,1600704000.000000,5967642.332411
1986-12-04,0.171007,-0.000010,65.048048,1,0.873715,81.396380,79.884869,0.032113,15.204328,1643212800.000000,7244704.035187
1986-12-05,0.170139,-0.000341,64.413237,1,0.836427,79.070903,79.477886,0.028263,20.987733,1535702400.000000,18353924.617481
1986-12-08,0.168403,-0.000735,61.702200,1,0.766137,74.419988,76.948937,0.029923,15.476606,1513036800.000000,3823512.999201
1986-12-09,0.167535,-0.001092,60.582022,1,0.705922,72.094550,74.521744,0.027435,6.630058,1496937600.000000,2701837.580395
1986-12-10,0.168837,-0.001265,61.613679,1,0.718337,71.623391,73.072567,0.026013,4.011066,1524528000.000000,4634331.989193
1986-12-11,0.170139,-0.001312,62.496594,1,0.727871,62.501833,67.787200,0.023903,-2.970111,1536163200.000000,1976234.868050
1986-12-12,0.164063,-0.001744,54.857765,1,0.483142,33.336600,50.561900,0.027015,-7.352481,1510876800.000000,4199776.142406
1986-12-15,0.159722,-0.002281,50.296964,1,0.307609,12.499437,31.530668,0.031598,-8.910902,1460102400.000000,8153877.690125
1986-12-16,0.161458,-0.002462,52.012203,1,0.345451,20.832371,26.181520,0.030463,-6.532822,1537401600.000000,12525330.475044
1986-12-17,0.163194,-0.002405,53.609385,1,0.367296,31.816557,28.999038,0.027562,-3.590105,1560758400.000000,3804939.565516
1986-12-18,0.164497,-0.002225,54.816853,1,0.380444,44.740235,36.869637,0.025251,-3.316110,1573430400.000000,2077168.876648
1986-12-19,0.168403,-0.001804,58.444509,1,0.499218,68.422978,52.646308,0.026272,-0.257050,1630022400.000000,9497514.648199
1986-12-22,0.170139,-0.001390,59.720039,1,0.550076,83.334446,67.990377,0.024986,-0.507586,1648339200.000000,3116402.031898
1986-12-23,0.171875,-0.000999,61.151724,1,0.638477,94.444847,81.217612,0.022073,1.020342,1672128000.000000,4074934.212971
1986-12-24,0.171441,-0.000778,60.438238,1,0.655244,97.059049,89.138331,0.019026,1.804008,1665100800.000000,1204750.221062
1986-12-26,0.171007,-0.000674,59.767711,1,0.670614,88.889694,89.014012,0.017452,2.072403,1661385600.000000,637475.077915
1986-12-29,0.164063,-0.001063,50.690722,1,0.247901,44.448090,66.731051,0.024503,-2.827573,1619683200.000000,6962479.877472
1986-12-30,0.165799,-0.001184,52.547980,1,0.366590,55.558491,61.144771,0.024598,-2.550851,1645084800.000000,4189502.817822
1986-12-31,0.167535,-0.001127,54.363813,1,0.511294,66.668892,63.906831,0.024627,2.116260,1668441600.000000,3919839.494991
1987-01-02,0.165799,-0.001182,52.151003,1,0.361560,55.558491,59.732661,0.025120,3.804740,1655798400.000000,2107204.270363
1987-01-05,0.175347,-0.000581,60.919691,1,1.312567,91.304786,75.518723,0.032034,8.602237,1704297600.000000,8363864.873314
1987-01-06,0.177951,-0.000042,62.730896,1,1.546343,95.238317,85.378520,0.030260,9.042607,1744329600.000000,7088986.478806
1987-01-07,0.187500,0.000873,68.430559,1,2.023163,100.000000,92.689260,0.032757,13.983840,1805328000.000000,11243041.954136
1987-01-08,0.193576,0.001753,71.136807,1,1.973765,94.734251,93.711755,0.033299,14.948067,1866816000.000000,11831459.317446
1987-01-09,0.201389,0.002671,73.992284,1,1.944328,97.826232,95.768994,0.034808,18.367335,1930521600.000000,12663696.624756
1987-01-12,0.214410,0.003890,78.317815,1,1.986928,96.774434,96.271714,0.040736,24.747640,2059315200.000000,27055629.214096
1987-01-13,0.208333,0.004008,71.258514,1,1.545137,85.483083,90.877399,0.042635,21.518771,1982995200.000000,15922082.111835
1987-01-14,0.208333,0.003807,71.190199,1,1.389237,85.483083,88.180241,0.039429,21.827172,1982995200.000000,14391581.674576
1987-01-15,0.219618,0.004129,75.075765,1,1.516839,91.667199,89.923720,0.044256,33.861982,2100009600.000000,25461435.797596
1987-01-16,0.214410,0.003700,69.475683,1,1.261860,83.334422,86.629071,0.045187,29.319235,2034576000.000000,14048528.494263
1987-01-19,0.222222,0.003644,72.093766,1,1.323847,95.833611,91.231341,0.045615,32.642129,2122819200.000000,19252107.229614
1987-01-20,0.225694,0.003541,73.150045,1,1.284736,92.104228,91.667784,0.044440,36.125062,2218579200.000000,21640195.702314
1987-01-21,0.235243,0.003793,75.701625,1,1.352775,92.045861,91.856823,0.050315,34.158550,2327068800.000000,25238875.391436
1987-01-22,0.258681,0.005132,79.956492,1,1.584115,99.082635,95.469729,0.059401,45.366426,2443104000.000000,28874547.196913
1987-01-23,0.234375,0.004023,65.326713,1,1.078141,63.302968,79.386348,0.080577,25.000000,2125209600.000000,78185809.823799
1987-01-26,0.238715,0.003258,65.175282,1,1.074637,66.666661,73.026505,0.074645,23.318491,2241763200.000000,27519587.070608
1987-01-27,0.248264,0.003072,67.535532,1,1.135758,74.193910,73.610207,0.068260,23.275849,2355868800.000000,28097171.934986
1987-01-28,0.249132,0.002699,67.440364,1,1.064603,73.864047,73.737127,0.063890,16.194207,2432592000.000000,19003186.196136
1987-01-29,0.238715,0.001502,61.599708,1,0.845992,56.249630,64.993379,0.068439,14.583380,2353363200.000000,19119440.817547
1987-01-30,0.253906,0.001481,65.819453,1,0.996746,76.666584,70.829981,0.066321,21.875080,2457532800.000000,25816317.148304
1987-02-02,0.253472,0.001199,65.167468,1,0.925289,75.999941,73.414961,0.058092,15.414952,2410617600.000000,11973150.000000
1987-02-03,0.249132,0.000516,62.852463,1,0.808235,67.143386,70.279174,0.056593,16.194207,2351289600.000000,14832000.294685
1987-02-04,0.250000,-0.000053,62.938778,1,0.775596,67.647556,68.963365,0.049299,12.500112,2383027200.000000,7906851.681519
1987-02-05,0.248264,-0.000685,61.971867,1,0.712645,64.706579,66.834972,0.045067,10.000265,2340374400.000000,10601495.503664
1987-02-06,0.239149,-0.001793,56.806968,1,0.553913,37.272498,52.053735,0.047188,1.660416,2294755200.000000,11048392.522430
1987-02-09,0.236979,-0.002694,55.880744,1,0.505328,32.727306,42.390520,0.041626,-8.389486,2158675200.000000,32267788.091898
1987-02-10,0.237847,-0.003219,56.003523,1,0.495900,23.403096,32.896808,0.038578,1.481387,2203344000.000000,10533870.981646
1987-02-11,0.249132,-0.002807,60.527944,1,0.644281,51.063787,41.980298,0.038370,4.363787,2263651200.000000,14815046.804810
1987-02-12,0.266493,-0.001437,66.811732,1,0.894455,96.703453,69.341875,0.042081,7.342584,2449382400.000000,48501845.351315
1987-02-13,0.263889,-0.000808,64.452744,1,0.815836,84.091793,76.716834,0.043143,5.923369,2367619200.000000,21576409.476185
1987-02-17,0.265625,-0.000397,64.898770,1,0.816645,88.636973,82.676903,0.041009,11.272860,2438352000.000000,18624677.128601
1987-02-18,0.249132,-0.001308,55.773146,1,0.514689,45.454801,64.065852,0.051612,-1.880225,2309760000.000000,32892161.911726
1987-02-19,0.238715,-0.002609,50.984855,1,0.315965,18.180836,41.123344,0.053988,-5.821948,1992009600.000000,76587378.170586
1987-02-20,0.236111,-0.003581,49.764092,1,0.254140,11.363027,26.243186,0.049338,-5.226549,1904112000.000000,20728158.322906
1987-02-23,0.250868,-0.003180,55.686184,1,0.562340,51.111045,38.677115,0.054979,0.347197,2030025600.000000,30895461.385345
1987-02-24,0.263021,-0.002098,59.692386,1,0.834625,82.223128,60.450121,0.051905,5.944073,2150841600.000000,31322675.601482
1987-02-25,0.258681,-0.001695,57.392498,1,0.738411,71.112601,65.781361,0.050807,8.167291,2085840000.000000,16974517.748165
1987-02-26,0.268229,-0.000847,60.744956,1,1.013774,82.691234,74.236297,0.055389,13.186829,2231049600.000000,38613315.063858
1987-02-27,0.266493,-0.000483,59.361782,1,0.933565,78.845303,76.540800,0.050943,12.043874,2193494400.000000,9997331.758118
1987-03-02,0.258681,-0.000829,55.695147,1,0.710944,61.538781,69.039791,0.049651,3.832904,2113977600.000000,20730506.665707
